,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
nourriture,20,0,0.037333333333333336,0.30666666666666664,47,0.016,23,0.0,0,0,0.005333333333333333,12,0.010666666666666666,10,255,20,0.17866666666666667,0.8056375247742787,0.005333333333333333,19,0,6,0.013333333333333334,1,6,78,47,0.40476190476190477,0.021333333333333333,30,189.1304347826087,255,0.0026666666666666666,15,14,0.008,39,0,61,0,1,0.0,22,630,0,0.0026666666666666666,41,2,0,10,303,0.48095238095238096,35,12,5.434782608695652,7,0.3413333333333333,22,0.048,0.0,0.04,6,20,0
pain,265,0,0.0036036036036036037,0.2713963963963964,522,0.022072072072072072,420,0.0018018018018018018,8,1,0.01981981981981982,11,0.016666666666666666,199,3209,251,0.17612612612612613,0.04577443115369622,0.009684684684684685,254,7,142,0.014414414414414415,6,142,111,522,0.42008116245581884,0.027702702702702704,455,108.66428571428571,1998,0.0013513513513513514,127,16,0.0006756756756756757,341,0,759,0,1,0.00022522522522522523,200,7639,2,0.002702702702702703,380,26,0,24,2260,0.2958502421782956,429,32,3.8095238095238093,26,0.3222972972972973,154,0.0891891891891892,0.0,0.023873873873873873,23,260,0
céréale,135,0,0.006381039197812215,0.24293527803099363,246,0.02415679124886053,160,0.0,7,2,0.021422060164083864,12,0.018687329079307202,79,1426,136,0.1763901549680948,0.048769520071948326,0.014129443938012761,140,3,60,0.014585232452142206,1,60,77,246,0.3941404090657822,0.03600729261622607,218,143.26875,1124,0.004102096627164996,68,14,0.011850501367365542,174,0,368,0,1,0.0,101,3618,2,0.005013673655423883,186,11,0,20,1273,0.35185185185185186,199,21,4.38125,7,0.31814038286235186,109,0.09845031905195989,0.0,0.014129443938012761,19,141,0
fromage,191,0,0.004131012097964001,0.2779580997344349,430,0.020655060489820007,240,0.0,5,1,0.015048686928297432,9,0.024786072587784008,157,2240,225,0.1947477131897315,0.393159977388355,0.009737385659486574,227,3,117,0.010917674830333431,3,118,224,429,0.398080682424027,0.02508114488049572,377,150.09166666666667,1631,0.002360578341693715,90,14,0.0076718796105045735,293,0,627,0,1,0.0,193,5627,3,0.0038359398052522867,312,53,0,21,1860,0.3305491380842367,349,37,4.15,19,0.2944821481262909,154,0.08999704927707289,0.0,0.022720566538802008,33,231,0
œuf,20,0,0.057777777777777775,0.25333333333333335,39,0.008888888888888889,32,0.008888888888888889,1,0,0.022222222222222223,5,0.02666666666666667,14,138,17,0.24888888888888888,0.02396972245584525,0.0044444444444444444,16,0,6,0.03111111111111111,1,6,6,39,0.38227146814404434,0.013333333333333334,31,70.28125,189,0.0,6,13,0.008888888888888889,29,0,54,0,1,0.0,19,361,0,0.0,33,0,0,3,216,0.5983379501385041,36,0,3.46875,0,0.29777777777777775,6,0.04888888888888889,0.0,0.02666666666666667,2,17,0
fruit,6,0,0.14285714285714285,0.27380952380952384,11,0.0,7,0.011904761904761904,0,0,0.03571428571428571,6,0.011904761904761904,3,42,4,0.17857142857142858,0.051605504587155966,0.011904761904761904,4,0,1,0.047619047619047616,0,1,3,11,0.336,0.011904761904761904,7,114.42857142857143,75,0.0,2,12,0.011904761904761904,8,0,15,0,1,0.0,6,125,0,0.0,10,0,0,0,97,0.776,11,0,4.571428571428571,0,0.32142857142857145,1,0.05952380952380952,0.0,0.023809523809523808,0,4,0
maïs,533,1,0.0018404101485473905,0.27343236492704087,916,0.01748389641120021,514,0.0,9,7,0.016300775601419744,17,0.017878270014460365,296,5048,456,0.18312080978046535,0.08623866129997536,0.013540160378598658,469,7,178,0.028789273037991323,6,178,232,916,0.39895676914565714,0.02892073090574471,752,149.78599221789884,2755,0.002760615222821086,255,14,0.007230182726436178,654,0,1316,2,1,0.0,386,12653,13,0.004075193900354936,738,19,0,20,3178,0.25116573144708765,709,37,3.6459143968871595,18,0.2828973314052846,388,0.08899697646904167,0.0,0.03457341921914026,77,477,0
viande,185,0,0.004349086691794723,0.3076253986662801,372,0.022035372571759932,198,0.00028993911278631486,5,8,0.01304726007538417,11,0.020585677007828356,124,2406,163,0.15743693824296898,0.08478933706070288,0.013337199188170484,168,2,79,0.014496955639315743,3,79,102,372,0.41100102494021185,0.03566251087271673,286,183.24747474747474,1577,0.0017396346767178893,123,15,0.0136271383009568,266,0,508,0,1,0.0,134,5854,6,0.004059147579008408,293,8,0,15,1798,0.3071404168090195,308,18,4.5,9,0.27776167004928964,111,0.08263264714409974,0.0,0.03566251087271673,35,171,0
noisette,94,0,0.01012292118582791,0.27187274041937814,149,0.018799710773680405,119,0.0,1,0,0.01373825018076645,16,0.023138105567606652,53,946,70,0.15979754157628345,0.09690020161290322,0.006507592190889371,71,1,26,0.049168474331164135,1,27,72,148,0.40618291112065263,0.038322487346348515,125,118.31932773109244,749,0.0014461315979754157,41,14,0.005784526391901663,96,0,212,0,1,0.0,55,2329,2,0.0072306579898770785,122,3,0,11,848,0.36410476599398883,101,4,2.7815126050420167,0,0.30007230657989875,67,0.0824295010845987,0.0,0.021691973969631236,9,73,0
pommedeterre,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
riz,197,1,0.004375,0.2659375,347,0.0265625,270,0.0,1,0,0.01375,10,0.0284375,114,2098,168,0.165,0.059192240058993706,0.0128125,177,6,73,0.008125,3,73,82,347,0.395998489996225,0.06375,290,121.04074074074074,1470,0.0015625,114,14,0.0040625,246,0,495,1,1,0.0,124,5298,6,0.005625,274,11,0,14,1680,0.3171007927519819,294,21,3.637037037037037,4,0.27875,120,0.09625,0.0,0.029375,33,181,0
soja,141,0,0.005777961205117622,0.2422616591002889,338,0.03012794056954189,179,0.0,1,0,0.015683037556747832,11,0.01650846058605035,108,1726,101,0.1832439125051589,0.04688322430257914,0.012794056954189021,105,3,56,0.03012794056954189,1,56,60,338,0.41600385635092796,0.03177878662814693,212,139.7094972067039,1167,0.0012381345439537762,82,14,0.008666941807676434,238,0,426,0,1,0.0,150,4149,2,0.002888980602558811,282,8,0,13,1349,0.32513858761147263,224,17,3.4078212290502794,3,0.30375567478332643,112,0.08584399504746182,0.0,0.035080478745357,18,106,0
épice,94,0,0.009186351706036745,0.25393700787401574,170,0.01968503937007874,103,0.0,0,0,0.01706036745406824,8,0.022965879265091863,45,1053,90,0.17519685039370078,0.034829947901422464,0.02821522309711286,95,5,34,0.005905511811023622,2,34,39,170,0.4086146682188591,0.025590551181102362,142,157.90291262135923,836,0.0013123359580052493,56,14,0.015748031496062992,129,0,251,0,1,0.0,69,2577,2,0.0026246719160104987,136,10,0,20,957,0.3713620488940629,146,25,4.834951456310679,0,0.31167979002624674,76,0.1036745406824147,0.0,0.016404199475065617,16,97,0
légume,139,0,0.005470887065259867,0.26221180148495504,299,0.02032043767096522,148,0.0,2,2,0.016412661195779603,10,0.028526768268855023,96,1597,127,0.16764361078546308,0.03848183193218193,0.01875732708089097,127,1,75,0.008206330597889801,3,75,51,299,0.3846339113680154,0.03321610003907777,224,182.26351351351352,1257,0.0031262211801484957,72,14,0.025400547088706527,208,0,404,0,1,0.0,133,4152,2,0.0027354435326299334,224,5,0,17,1404,0.33815028901734107,175,24,5.364864864864865,5,0.3048065650644783,158,0.09730363423212192,0.0,0.011332551778038297,25,130,0
blé,296,0,0.0032119914346895075,0.26595289079229123,565,0.025267665952890792,364,0.00021413276231263382,6,0,0.013062098501070664,13,0.020770877944325482,201,3251,269,0.1809421841541756,0.08051404551598985,0.014561027837259101,276,7,129,0.009207708779443255,4,129,139,565,0.4105316327819169,0.03618843683083512,464,134.73076923076923,2027,0.003854389721627409,165,15,0.00556745182012848,396,0,802,0,1,0.0,216,7919,4,0.005781584582441114,436,18,0,22,2325,0.2935976764743023,430,33,3.71978021978022,2,0.2929336188436831,214,0.10321199143468951,0.0,0.022483940042826552,43,280,0
boisson,85,1,0.00813953488372093,0.29011627906976745,239,0.020348837209302327,135,0.0,2,0,0.013953488372093023,7,0.025,88,1173,78,0.1872093023255814,0.033111884424760096,0.011046511627906977,78,2,62,0.005232558139534884,4,64,20,238,0.40546145869339784,0.03488372093023256,170,134.15555555555557,803,0.0005813953488372093,65,14,0.004069767441860465,155,0,307,1,1,0.0,87,2893,3,0.0017441860465116279,176,16,0,9,960,0.33183546491531285,151,14,3.6222222222222222,11,0.2982558139534884,83,0.09476744186046511,0.0,0.012790697674418604,15,84,0
bière,137,0,0.00691699604743083,0.2534584980237154,210,0.01432806324110672,125,0.0,1,0,0.017786561264822136,11,0.025197628458498024,81,1381,131,0.16897233201581027,0.08687081088185045,0.012351778656126482,130,1,59,0.037549407114624504,2,59,75,210,0.4059376837154615,0.02816205533596838,210,164.696,1036,0.001976284584980237,62,14,0.008893280632411068,136,0,332,0,1,0.0,70,3402,0,0.0014822134387351778,151,9,0,16,1178,0.3462669018224574,190,12,4.08,4,0.29693675889328064,71,0.08646245059288538,0.0,0.046442687747035576,10,132,0
café,428,1,0.002297794117647059,0.2643995098039216,755,0.025122549019607844,450,0.00015318627450980392,6,0,0.013939950980392158,11,0.023131127450980393,286,4313,383,0.17846200980392157,0.04542049999293396,0.014552696078431373,399,14,197,0.012714460784313725,10,197,116,755,0.397914936802288,0.03201593137254902,688,148.47555555555556,2786,0.0026041666666666665,169,15,0.007659313725490196,493,0,1117,1,1,0.0,308,10839,12,0.0033700980392156864,558,41,0,15,3168,0.2922778854137836,643,33,3.9355555555555557,14,0.29901960784313725,236,0.09053308823529412,0.0,0.03232230392156863,48,410,0
eaupotable,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
lait,147,0,0.005744768157570784,0.2708247845711941,281,0.020927369716865,163,0.0,6,0,0.00943783340172343,10,0.020927369716865,96,1705,261,0.22527697989331144,0.05652929673354096,0.01764464505539598,264,4,68,0.01107919573245794,3,68,54,281,0.4116368903911154,0.038161674189577346,360,157.82822085889572,1256,0.004103405826836274,66,14,0.012310217480508822,196,0,525,1,1,0.0,123,4142,3,0.003282724661469019,213,132,0,16,1434,0.3462095605987446,352,17,4.208588957055214,2,0.2712351251538777,101,0.0791957324579401,0.0,0.015592942141977841,24,268,0
thé,415,0,0.00261437908496732,0.26062091503267976,696,0.024509803921568627,399,0.000326797385620915,14,8,0.018300653594771243,9,0.017320261437908498,248,4275,374,0.17712418300653596,0.04164993231885998,0.01715686274509804,375,4,155,0.03480392156862745,13,156,95,696,0.4113741339491917,0.04084967320261438,630,159.64661654135338,2534,0.003431372549019608,165,16,0.0032679738562091504,472,0,1034,0,1,0.0,289,10392,10,0.003431372549019608,541,27,0,38,2841,0.27338337182448036,544,28,4.458646616541353,31,0.2681372549019608,292,0.09428104575163399,0.0001633986928104575,0.03627450980392157,50,388,0
vin,467,1,0.0021216407355021216,0.2946251768033946,795,0.02164073550212164,544,0.0004243281471004243,8,0,0.018104667609618104,13,0.022347949080622348,297,4934,422,0.17623762376237623,0.23541185527328715,0.01640735502121641,438,16,206,0.007920792079207921,10,206,176,795,0.4113037679226409,0.033663366336633666,740,135.20404411764707,2993,0.0024045261669024044,208,15,0.008628005657708628,526,0,1198,3,1,0.0,298,11996,12,0.0029702970297029703,589,39,0,33,3394,0.28292764254751585,672,38,3.954044117647059,40,0.2900990099009901,277,0.0736916548797737,0.0,0.030834512022630836,48,451,0
langage,61,0,0.016129032258064516,0.3027295285359802,84,0.02729528535980149,54,0.0,2,0,0.009925558312655087,6,0.028535980148883373,47,511,51,0.1687344913151365,0.11468962585034014,0.02109181141439206,50,0,28,0.02729528535980149,2,28,17,84,0.3880030372057707,0.02977667493796526,96,152.12962962962962,486,0.0,12,13,0.008684863523573201,43,0,132,0,1,0.0,28,1317,1,0.0037220843672456576,56,2,0,12,568,0.4312832194381169,71,6,3.240740740740741,5,0.2704714640198511,18,0.09181141439205956,0.0,0.009925558312655087,4,52,0
nompersonnel,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
alphabet,42,0,0.015706806282722512,0.2418848167539267,80,0.02198952879581152,39,0.0020942408376963353,3,0,0.05130890052356021,8,0.02198952879581152,26,457,53,0.13926701570680627,0.11682199002165114,0.018848167539267015,52,0,18,0.02198952879581152,1,19,33,79,0.33652430044182624,0.040837696335078534,79,238.76923076923077,541,0.0010471204188481676,19,15,0.009424083769633508,57,0,125,0,1,0.0,35,1358,1,0.0020942408376963353,61,12,0,5,614,0.4521354933726068,80,4,7.102564102564102,0,0.3162303664921466,27,0.09214659685863874,0.0,0.018848167539267015,8,54,0
lettre,6,0,0.11688311688311688,0.4155844155844156,11,0.0,9,0.0,0,0,0.012987012987012988,2,0.025974025974025976,8,38,5,0.2077922077922078,0.007802340702210663,0.025974025974025976,5,0,6,0.012987012987012988,0,6,1,11,0.33043478260869563,0.012987012987012988,13,82.11111111111111,64,0.0,2,9,0.0,3,0,16,0,1,0.0,1,115,0,0.0,5,1,0,0,80,0.6956521739130435,7,0,3.4444444444444446,0,0.2077922077922078,1,0.07792207792207792,0.0,0.0,0,5,0
alphabetarabe,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
écrituresbrahmiques,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
caractèreschinois,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
alphabetcyrillique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
alphabetlatin,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
alphabetgrec,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
grammaire,22,0,0.03051643192488263,0.2934272300469484,43,0.028169014084507043,31,0.0,0,0,0.009389671361502348,10,0.018779342723004695,17,264,20,0.14788732394366197,0.03534846354689697,0.011737089201877934,20,0,10,0.004694835680751174,0,10,6,43,0.3826086956521739,0.011737089201877934,37,152.41935483870967,287,0.0,10,13,0.004694835680751174,27,0,56,0,1,0.0,16,690,0,0.002347417840375587,33,4,0,5,346,0.5014492753623189,31,1,3.935483870967742,0,0.392018779342723,15,0.06572769953051644,0.0,0.009389671361502348,7,20,0
mot,44,0,0.02681992337164751,0.2662835249042146,65,0.028735632183908046,39,0.0,6,0,0.009578544061302681,7,0.03065134099616858,30,299,45,0.21264367816091953,0.10739260739260739,0.019157088122605363,46,1,23,0.011494252873563218,0,23,15,65,0.3646341463414634,0.028735632183908046,76,135.28205128205127,328,0.0019157088122605363,9,14,0.007662835249042145,36,0,102,0,1,0.0,26,820,0,0.0038314176245210726,42,2,0,5,390,0.47560975609756095,61,4,5.512820512820513,0,0.23946360153256704,20,0.09003831417624521,0.0,0.04980842911877394,9,46,0
écriture,129,0,0.006440532417346501,0.279089738085015,285,0.030485186775440102,190,0.0017174753112924003,5,0,0.010734220695577501,8,0.021897810218978103,99,1595,119,0.1790468012022327,0.04530768938386104,0.013310433662516101,129,8,60,0.015027908973808502,3,60,40,285,0.40688775510204084,0.043366251610133105,226,130.40526315789472,1171,0.0030055817947617003,81,15,0.0030055817947617003,198,0,394,0,1,0.0,110,3920,5,0.0055817947617003,225,25,0,21,1359,0.3466836734693878,227,15,3.8210526315789473,7,0.28681837698583085,91,0.0785744954916273,0.0,0.028338342636324603,23,132,0
languesspécifiques,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
arabe,83,0,0.006407322654462242,0.24393592677345538,193,0.021510297482837528,125,0.0,3,4,0.02562929061784897,8,0.022425629290617848,47,1244,80,0.12631578947368421,0.08029257067718606,0.016018306636155607,81,2,30,0.02379862700228833,2,30,70,193,0.36278798483522895,0.02288329519450801,129,176.584,1074,0.002288329519450801,34,14,0.019221967963386728,154,0,250,0,1,0.0,113,3429,1,0.0036613272311212816,163,6,0,20,1208,0.35228929717118695,163,15,5.936,9,0.36613272311212813,66,0.0874141876430206,0.0,0.018764302059496567,26,83,0
bengali,113,0,0.009324009324009324,0.23135198135198135,186,0.013986013986013986,136,0.0005827505827505828,4,0,0.008741258741258742,8,0.026223776223776224,38,1063,106,0.17424242424242425,0.08756390140203472,0.011655011655011656,113,5,25,0.04836829836829837,0,25,75,186,0.38320115356885365,0.038461538461538464,150,130.38970588235293,790,0.0017482517482517483,56,16,0.008741258741258742,154,0,287,0,1,0.0,93,2774,2,0.0017482517482517483,161,3,0,10,934,0.33669790915645276,182,16,3.1838235294117645,6,0.31585081585081587,79,0.09557109557109557,0.0005827505827505828,0.022144522144522144,12,113,0
langueschinoises,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
anglais,145,0,0.005998286203941731,0.26135389888603255,235,0.024850042844901457,119,0.0,6,0,0.017994858611825194,10,0.030419880034275922,80,1394,128,0.1610968294772922,0.08970878119537323,0.027849185946872322,133,11,45,0.024850042844901457,7,45,122,235,0.3739270386266094,0.02570694087403599,219,203.21008403361344,1152,0.0021422450728363325,51,14,0.013710368466152529,164,0,364,1,1,0.0,106,3728,2,0.0038560411311053984,190,16,0,22,1318,0.35354077253218885,199,20,6.764705882352941,10,0.2879177377892031,97,0.0921165381319623,0.0,0.026135389888603255,12,141,0
français,372,0,0.0023873945567404104,0.25481457902275984,596,0.022759828107591914,355,0.0001591596371160274,14,1,0.02610218048702849,12,0.02053159318796753,249,3999,329,0.15183829380869013,0.13040504997369806,0.022600668470475888,349,18,163,0.010027057138309725,9,163,181,596,0.38908347927612374,0.027057138309724654,596,184.50422535211268,2325,0.003501512016552602,127,15,0.016075123348718766,376,0,894,0,1,0.0,231,10278,11,0.003819831290784657,433,29,0,35,2700,0.2626970227670753,483,22,4.985915492957746,13,0.30494986471430846,222,0.09103931243036766,0.0,0.04472385802960369,60,358,0
